name,x,y
東区1,277,274
東区2,236,243
新宮,298,222
古賀,312,192
福津1,299,164
福津2,289,132
宗像1,345,149
宗像2,393,144
宗像3,332,119
久山,339,257
篠栗,352,291
粕屋,309,296
須恵,368,325
志免,328,322
博多区,280,325
中央区,224,311
西区2,156,295
西区1,167,328
前原1,115,360
前原2,155,389
前原3,112,398
城南,226,345
早良1,201,371
早良2,204,429
南区,265,361
春日,305,362
宇美,350,352
那珂川1,263,400
那珂川2,271,445
太宰府,355,376
大野城,308,391
筑紫野1,334,425
筑紫野2,382,405
筑前2,380,432
筑前1,417,453
朝倉1,435,479
朝倉2,498,462
朝倉3,458,432
朝倉4,541,504
朝倉5,479,499
志摩1,111,319
志摩2,69,332
二丈1,67,370
二丈2,35,407
東峰1,525,432
東峰2,580,465
久留米1,330,553
久留米2,394,556
久留米3,323,581
久留米4,396,526
大刀洗,391,498
小郡,360,473
久留米5,446,544
八女3,440,584
うきは1,496,536
うきは2,547,560
うきは3,525,585
宮若3,381,212
宮若2,405,178
宮若4,385,242
宮若1,423,217
飯塚2,400,279
飯塚5,422,300
飯塚4,401,327
飯塚3,417,366
桂川,436,330
飯塚1,443,263
飯塚6,464,285
嘉麻2,473,315
嘉麻3,477,342
嘉麻4,478,370
嘉麻5,497,394
鞍手,437,148
直方1,473,184
直方2,515,186
小竹,464,218
福智2,503,214
飯塚7,475,243
福智3,535,233
福智1,507,254
糸田,506,282
田川1,539,278
田川2,514,312
嘉麻1,513,352
川崎,548,342
添田1,555,369
添田2,587,419
添田3,593,370
岡垣,386,85
遠賀,422,108
芦屋,425,65
水巻,450,98
中間,466,128
八幡西2,500,149
八幡西1,486,89
若松2,458,56
若松1,502,27
戸畑,541,49
八幡東,532,99
小倉北,578,79
小倉南1,578,125
小倉南2,627,129
小倉南3,570,171
小倉南4,681,127
門司1,628,69
門司2,649,34
下関南,597,12
苅田,638,176
行橋1,672,208
行橋2,630,208
みやこ1,631,286
みやこ2,623,323
みやこ3,646,392
みやこ4,608,235
みやこ5,654,250
築上1,707,284
築上2,679,318
築上3,672,279
築上4,652,349
豊前1,726,316
豊前2,712,351
豊前3,688,374
上毛1,759,342
上毛2,756,380
