from,to,km
東区2,東区1,14
博多区,東区1,10
博多区,東区2,21
中央区,東区1,10
中央区,東区2,21
中央区,博多区,4
南区,東区1,14
南区,東区2,26
南区,博多区,6
南区,中央区,6
西区1,東区1,21
西区1,東区2,32
西区1,博多区,14
西区1,中央区,11
西区1,南区,15
西区2,東区1,28
西区2,東区2,39
西区2,博多区,21
西区2,中央区,18
西区2,南区,22
西区2,西区1,9
城南,東区1,17
城南,東区2,29
城南,博多区,9
城南,中央区,6
城南,南区,5
城南,西区1,9
城南,西区2,17
早良1,東区1,19
早良1,東区2,29
早良1,博多区,12
早良1,中央区,9
早良1,南区,9
早良1,西区1,5
早良1,西区2,13
早良1,城南,5
早良2,東区1,24
早良2,東区2,35
早良2,博多区,17
早良2,中央区,14
早良2,南区,14
早良2,西区1,12
早良2,西区2,20
早良2,城南,10
早良2,早良1,8
筑紫野1,東区1,26
筑紫野1,東区2,39
筑紫野1,博多区,20
筑紫野1,中央区,20
筑紫野1,南区,17
筑紫野1,西区1,28
筑紫野1,西区2,36
筑紫野1,城南,21
筑紫野1,早良1,24
筑紫野1,早良2,24
筑紫野2,東区1,25
筑紫野2,東区2,38
筑紫野2,博多区,18
筑紫野2,中央区,22
筑紫野2,南区,19
筑紫野2,西区1,29
筑紫野2,西区2,37
筑紫野2,城南,22
筑紫野2,早良1,25
筑紫野2,早良2,26
筑紫野2,筑紫野1,9
春日,東区1,19
春日,東区2,31
春日,博多区,11
春日,中央区,11
春日,南区,7
春日,西区1,17
春日,西区2,25
春日,城南,10
春日,早良1,13
春日,早良2,15
春日,筑紫野1,12
春日,筑紫野2,14
大野城,東区1,19
大野城,東区2,31
大野城,博多区,10
大野城,中央区,13
大野城,南区,10
大野城,西区1,21
大野城,西区2,28
大野城,城南,13
大野城,早良1,16
大野城,早良2,20
大野城,筑紫野1,9
大野城,筑紫野2,9
大野城,春日,5
宗像1,東区1,23
宗像1,東区2,28
宗像1,博多区,30
宗像1,中央区,30
宗像1,南区,33
宗像1,西区1,41
宗像1,西区2,47
宗像1,城南,37
宗像1,早良1,38
宗像1,早良2,44
宗像1,筑紫野1,44
